,review title,job title,job location,date,description,pros,cons
884,"super enjoyable company to work, friend of funcion√°rios and well organized",Receptionist,Rio de Janeiro - RJ,"January 11, 2013","‚ Ä ¢ Career developed in √°rea Administrative and Human Resources - Training and Development in companies nacionais.‚ Ä ¢ Support in £ condu√ß√ the Behavioral Training to n√velGerencial.‚ Ä ¢ Experience in recruitment and Selecting the £ , T & D, customer service (inbound and outbound) and vendas.‚ Ä ¢ Creativity in £ Creating the new models of Dina ¢ Ä ¢ Micasa £ drafting the monthly relat√≥rios and or√ßamento‚ indicators Ä ¢ Experience £ atua√ß√ in the Empresariais‚ Games Ä ¢ creative profile and in constant learning",salary schedule,there is no
885,Company with good working environment,Intern,"Belo Horizonte, MG","January 9, 2013",The group A © funcion√°rios receptive and ready to contribute to the collective growth. Compatible Sal√°rio the market.,#VALUE!,#VALUE!
886,Productive & Great workplace & invironment,Project Assistant / PA,"Process Engineering,Metallurgy Department","January 8, 2013","Typical day to day office admin. Learning & Experience in managing travel arrangements, itineraries, accommodation, flight bookings and arranging travel documentation, typing of memo‚Äôs, Invoices, orders, filing and faxing, setting meetings, managing diary‚Äôs, conference bookings and venues. Did ordering of stationary for the department.Hardest part of the job was - Combining & typing of weekly and monthly reports.I am well adapted. Working as a team, is one of my priorities and I enjoy challenging assignments.I have good communication skills and I can interact with people from all walks of life. Enjoyable part of my job was flight bookings and travel arrangements.",was a contractor,no benefits for contractors
887,"stable, productive and excellent company",Personal Assistant,Johannesburg,"January 8, 2013",A hardworking day but rewarding.Learn everyday something differentGood management teamHave a good relationshiop with my co-workersHardest part of the job - deadlines but always reach the deadlineEnjoyable part of the job to be proactive.,free lunches & covered parking for all employees,would prefer if it was closer to home
888,"productive, challenging and fun working",Instrument Mechanician,Witbank,"January 6, 2013","I used to enjoy working for the company until they started to down size in staff. so i m one of the people that are overcompliment.so, there is lot of unpleasant things that are happening.",working with wonderful people in my department,growth
889,Company that accepts your professional cresciento,Metal Forneiro,"Barro Alto, GO","January 5, 2013","Being Anglo √ © have two families, here we have total freedom with ger√™ncia, √≥timo relationship and professional respect above all.",#VALUE!,#VALUE!
890,productive and great team,Employee Relations Manager,Mokopane Limpopo,"December 27, 2012",You need to create a conducive environment if you need to reach production targets.,incentive bonuses twice a year,away from the big town
891,Company and its benefits,excavator operator,"Barro Alto, GO","December 26, 2012","√≥tima a company with a good benefit-Only that that temporary √ © rent payment but a city of high cost of living offered me courses and learning internas.O fellowship √ © best part, I think q has a good management, respect, and part of £ perticipa√ß√ the profit at the end of each year in encentiva more every day.",refei√ß√ £ good and the good transportation,withdrawing the benefit rental
892,productive at work,Boilermaker,Trust,"December 16, 2012","when it comes to values that is where the company is so unfair,the company talk about caring but i feel it doenst care about my family at all",#VALUE!,#VALUE!
893,productive,HR Admin / Trainer,"Limpopo, Amandelbult","December 16, 2012",good valuesgood benefitsgood in recognitiongood in development,"free transport, free/affordable housing",normal hours
894,Very good company to work,HR Manager,Rustenburg,"December 15, 2012",Goal orientated company that have strong value base that influance all decisions.,very good benefits,job security with the current platinum review
895,Nice work,INTERN,"Niquel√ ¢ ndia, GO","December 14, 2012","qualified manages, Environment good work; Interface £ the work of excellent staff, pleasant Benefits: High Level of learning;",#VALUE!,#VALUE!
896,"Environment enjoyable to work, √≥timo sal√°rio to est√°giarios, confraterniza√ß√?es on commemorative dates for the company.",Internship,"Niquel√ ¢ ndia, GO","December 14, 2012",Working days s√ £ o filled with many chores all connected to √°rea work. The lessons arising from the est√°gio were quite large and can be seen in all £ atua√ß√ √°reas of the environmental engineer. Colleagues were quite pleasant. The hardest part was in the knowledge of the environmental £ legisla√ß√ that √ © very wide. Everyday tasks and were pleasant because though some were a bit boring demand knowledge.,"lunch in the company, worth cafÈ © am.",the company is 40 km from the city.
